Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.18,0.18,0.18,30000,2,0,ignore
2,0.15,0.15,0.16,30000,2,0,ignore
4,0.15,0.14,0.15,30000,2,0,ignore
8,0.15,0.14,0.15,30000,2,0,ignore
16,0.15,0.15,0.16,30000,2,0,ignore
32,0.14,0.14,0.15,30000,2,0,ignore
64,0.15,0.14,0.15,30000,2,0,ignore
128,0.15,0.14,0.22,30000,2,0,ignore
256,0.15,0.14,0.22,30000,2,0,ignore
512,0.16,0.15,0.24,30000,2,0,ignore
1024,0.15,0.14,0.26,30000,2,0,ignore
2048,0.16,0.15,0.30,30000,2,0,ignore
4096,0.16,0.15,0.38,30000,2,0,ignore
8192,0.16,0.15,0.57,30000,2,0,ignore
16384,0.16,0.14,3.94,30000,2,0,ignore
32768,0.15,0.14,4.51,30000,2,0,ignore
65536,0.15,0.14,6.59,30000,2,0,ignore
131072,0.15,0.14,12.41,30000,2,0,ignore
262144,0.16,0.15,28.51,30000,2,0,ignore
524288,0.16,0.15,61.39,30000,2,0,ignore
1,0.19,0.19,0.19,30000,4,0,ignore
2,0.19,0.19,0.19,30000,4,0,ignore
4,0.19,0.19,0.19,30000,4,0,ignore
8,0.20,0.19,0.20,30000,4,0,ignore
16,0.19,0.19,0.19,30000,4,0,ignore
32,0.19,0.19,0.19,30000,4,0,ignore
64,0.19,0.19,0.19,30000,4,0,ignore
128,0.19,0.19,0.32,30000,4,0,ignore
256,0.19,0.19,0.33,30000,4,0,ignore
512,0.19,0.19,0.36,30000,4,0,ignore
1024,0.19,0.19,0.39,30000,4,0,ignore
2048,0.19,0.19,0.50,30000,4,0,ignore
4096,0.19,0.19,0.71,30000,4,0,ignore
8192,0.19,0.19,1.09,30000,4,0,ignore
16384,0.19,0.19,4.13,30000,4,0,ignore
32768,0.19,0.19,5.15,30000,4,0,ignore
65536,0.19,0.19,7.65,30000,4,0,ignore
131072,0.19,0.19,16.14,30000,4,0,ignore
262144,0.19,0.19,42.06,30000,4,0,ignore
524288,0.19,0.19,100.79,30000,4,0,ignore
1,0.80,0.80,0.80,30000,8,0,ignore
2,0.72,0.72,0.76,30000,8,0,ignore
4,0.73,0.73,0.80,30000,8,0,ignore
8,0.75,0.75,0.88,30000,8,0,ignore
16,0.70,0.70,0.86,30000,8,0,ignore
32,0.72,0.72,0.94,30000,8,0,ignore
64,0.76,0.76,0.96,30000,8,0,ignore
128,0.75,0.75,1.32,30000,8,0,ignore
256,0.71,0.71,1.38,30000,8,0,ignore
512,0.71,0.71,1.37,30000,8,0,ignore
1024,0.72,0.72,1.49,30000,8,0,ignore
2048,0.70,0.70,1.87,30000,8,0,ignore
4096,0.71,0.71,3.10,30000,8,0,ignore
8192,0.73,0.73,4.83,30000,8,0,ignore
16384,0.74,0.74,12.25,30000,8,0,ignore
32768,0.72,0.72,12.60,30000,8,0,ignore
65536,0.72,0.72,23.83,30000,8,0,ignore
131072,0.79,0.76,50.94,30000,8,0,ignore
262144,0.76,0.76,89.97,30000,8,0,ignore
524288,0.72,0.72,256.39,30000,8,0,ignore
1,1.21,1.21,1.21,30000,16,0,ignore
2,1.18,1.18,1.19,30000,16,0,ignore
4,1.17,1.17,1.18,30000,16,0,ignore
8,1.22,1.19,1.30,30000,16,0,ignore
16,1.20,1.17,1.24,30000,16,0,ignore
32,1.20,1.20,1.36,30000,16,0,ignore
64,1.17,1.17,1.35,30000,16,0,ignore
128,1.18,1.18,1.95,30000,16,0,ignore
256,1.18,1.18,1.96,30000,16,0,ignore
512,1.18,1.17,2.21,30000,16,0,ignore
1024,1.16,1.15,2.24,30000,16,0,ignore
2048,1.19,1.19,2.99,30000,16,0,ignore
4096,1.21,1.21,5.33,30000,16,0,ignore
8192,1.17,1.16,10.15,30000,16,0,ignore
16384,1.17,1.17,18.42,30000,16,0,ignore
32768,1.17,1.17,28.62,30000,16,0,ignore
65536,1.23,1.23,55.73,30000,16,0,ignore
131072,1.20,1.19,109.74,30000,16,0,ignore
262144,1.18,1.16,223.27,30000,16,0,ignore
524288,1.18,1.16,460.13,30000,16,0,ignore
1,1.72,1.72,1.72,30000,32,0,ignore
2,1.65,1.61,1.65,30000,32,0,ignore
4,1.68,1.59,1.68,30000,32,0,ignore
8,1.63,1.54,1.63,30000,32,0,ignore
16,1.67,1.58,1.67,30000,32,0,ignore
32,1.67,1.55,1.82,30000,32,0,ignore
64,1.73,1.54,1.78,30000,32,0,ignore
128,1.63,1.56,2.57,30000,32,0,ignore
256,1.70,1.54,2.61,30000,32,0,ignore
512,1.75,1.64,2.94,30000,32,0,ignore
1024,1.69,1.56,3.27,30000,32,0,ignore
2048,1.73,1.54,4.23,30000,32,0,ignore
4096,1.67,1.55,5.87,30000,32,0,ignore
8192,1.68,1.58,8.90,30000,32,0,ignore
16384,1.66,1.55,15.61,30000,32,0,ignore
32768,1.62,1.54,26.65,30000,32,0,ignore
65536,1.72,1.56,45.58,30000,32,0,ignore
131072,1.57,1.55,104.03,30000,32,0,ignore
262144,1.78,1.54,222.60,30000,32,0,ignore
524288,1.67,1.58,503.52,30000,32,0,ignore
1,1.62,1.62,1.62,30000,64,0,ignore
2,1.65,1.64,1.65,30000,64,0,ignore
4,1.71,1.64,1.71,30000,64,0,ignore
8,1.59,1.59,1.60,30000,64,0,ignore
16,1.74,1.61,1.74,30000,64,0,ignore
32,1.57,1.57,1.99,30000,64,0,ignore
64,1.65,1.58,2.02,30000,64,0,ignore
128,1.76,1.63,2.97,30000,64,0,ignore
256,1.69,1.66,2.98,30000,64,0,ignore
512,1.63,1.56,3.58,30000,64,0,ignore
1024,1.67,1.58,3.71,30000,64,0,ignore
2048,1.70,1.60,5.10,30000,64,0,ignore
4096,1.70,1.61,6.86,30000,64,0,ignore
8192,1.60,1.60,11.09,30000,64,0,ignore
16384,1.73,1.67,19.83,30000,64,0,ignore
32768,1.64,1.60,32.35,30000,64,0,ignore
65536,1.63,1.63,66.76,30000,64,0,ignore
131072,1.68,1.68,149.04,30000,64,0,ignore
262144,1.71,1.64,307.62,30000,64,0,ignore
524288,1.68,1.58,712.63,30000,64,0,ignore
1,2.77,2.77,2.77,30000,128,0,ignore
2,2.59,2.59,3.84,30000,128,0,ignore
4,2.69,2.69,3.84,30000,128,0,ignore
8,2.53,2.53,3.75,30000,128,0,ignore
16,2.76,2.76,3.90,30000,128,0,ignore
32,2.68,2.68,4.00,30000,128,0,ignore
64,2.61,2.61,4.32,30000,128,0,ignore
128,2.71,2.71,6.05,30000,128,0,ignore
256,3.16,3.16,6.23,30000,128,0,ignore
512,2.69,2.69,6.66,30000,128,0,ignore
1024,2.68,2.68,6.70,30000,128,0,ignore
2048,2.73,2.73,10.14,30000,128,0,ignore
4096,2.71,2.71,19.22,30000,128,0,ignore
8192,2.62,2.62,35.49,30000,128,0,ignore
16384,2.71,2.71,113.15,30000,128,0,ignore
32768,2.69,2.69,172.96,30000,128,0,ignore
65536,2.67,2.67,171.66,30000,128,0,ignore
131072,2.62,2.62,238.10,30000,128,0,ignore
262144,2.58,2.58,489.92,30000,128,0,ignore
524288,2.68,2.68,1048.05,30000,128,0,ignore
1,1.01,1.01,1.01,30000,256,0,ignore
2,1.00,1.00,1.00,30000,256,0,ignore
4,1.00,1.00,1.01,30000,256,0,ignore
8,1.01,0.99,1.01,30000,256,0,ignore
16,1.04,1.02,1.06,30000,256,0,ignore
32,1.09,1.07,1.29,30000,256,0,ignore
64,1.01,1.01,1.23,30000,256,0,ignore
128,1.06,1.02,2.19,30000,256,0,ignore
256,1.01,1.00,2.66,30000,256,0,ignore
512,1.03,1.02,3.55,30000,256,0,ignore
1024,1.05,1.04,4.35,30000,256,0,ignore
2048,1.03,1.01,6.10,30000,256,0,ignore
4096,1.04,1.02,9.26,30000,256,0,ignore
8192,1.04,1.03,16.08,30000,256,0,ignore
16384,1.07,1.07,122.59,30000,256,0,ignore
32768,1.01,1.01,122.42,30000,256,0,ignore
65536,1.02,1.02,122.76,30000,256,0,ignore
131072,1.06,1.06,189.92,30000,256,0,ignore
262144,1.04,1.03,431.38,30000,256,0,ignore
524288,1.01,1.01,950.30,30000,256,0,ignore
1,0.15,0.15,0.15,30000,2,2,chain
2,0.15,0.15,0.15,30000,2,2,chain
4,0.15,0.15,0.15,30000,2,2,chain
8,0.14,0.14,0.15,30000,2,2,chain
16,0.15,0.15,0.15,30000,2,2,chain
32,0.15,0.15,0.15,30000,2,2,chain
64,0.15,0.15,0.15,30000,2,2,chain
128,0.15,0.15,0.22,30000,2,2,chain
256,0.16,0.15,0.22,30000,2,2,chain
512,0.16,0.15,0.27,30000,2,2,chain
1024,0.15,0.15,0.27,30000,2,2,chain
2048,0.15,0.14,0.31,30000,2,2,chain
4096,0.15,0.14,0.38,30000,2,2,chain
8192,0.15,0.14,0.55,30000,2,2,chain
16384,0.15,0.15,3.79,30000,2,2,chain
32768,0.15,0.15,4.63,30000,2,2,chain
65536,0.15,0.14,6.06,30000,2,2,chain
131072,0.15,0.14,10.88,30000,2,2,chain
262144,0.16,0.15,22.60,30000,2,2,chain
524288,0.15,0.15,58.50,30000,2,2,chain
1,0.17,0.17,0.17,30000,4,2,chain
2,0.18,0.18,0.18,30000,4,2,chain
4,0.18,0.18,0.18,30000,4,2,chain
8,0.18,0.18,0.18,30000,4,2,chain
16,0.18,0.18,0.18,30000,4,2,chain
32,0.17,0.17,0.18,30000,4,2,chain
64,0.18,0.17,0.18,30000,4,2,chain
